STAT_ID	VALUE	DATEONLY
20	30	8/1/89
20	153	8/3/89
20	63	8/8/89
20	2275	8/15/89
20	118	8/17/89
20	25	8/2/89
20	17175	8/16/89
20	7525	8/14/89
20	3	8/9/89
81	30	8/15/92
81	0	8/14/93
81	10	8/21/92
81	5	8/20/92
81	100	8/19/92
81	15	8/18/92
81	8	8/13/90
81	3	8/7/90
81	0	8/11/93
81	5	8/14/90
81	21350	8/14/92
81	25	8/13/92
81	280	8/12/92
81	5	8/10/92
81	35	9/24/91
81	0	8/17/92
81	20	9/26/91
81	0	7/31/93
81	10	8/2/93
81	10	8/5/93
81	5	8/6/93
81	5	8/9/93
81	50	8/9/90
81	5	8/13/93
81	220	7/28/93
81	5	8/12/93
81	83	8/10/90
81	123000	7/23/93
81	5	8/8/90
81	30	7/24/93
81	105	7/25/93
81	0	7/29/93
81	15	8/3/90
81	130	8/20/94
81	5	8/27/92
81	10	8/2/94
81	0	8/3/94
81	0	8/4/94
81	0	8/5/94
81	20	8/6/94
81	105800	8/9/94
81	0	8/11/94
81	5	8/12/94
81	60	8/13/94
81	10	8/16/94
81	0	8/6/90
81	15	8/19/94
81	5	9/27/91
81	0	8/2/90
81	40	9/30/91
81	0	10/1/91
81	10	10/2/91
81	210	10/3/91
81	35	8/18/94
81	8	8/4/90
81	5	8/24/92
81	5	8/8/92
81	0	8/7/92
81	215	8/4/92
81	0	7/26/93
81	5	8/3/92
81	5	8/25/92
81	10	8/26/92
81	65	10/4/91
82	0	8/3/90
82	85	10/4/91
82	5	8/2/90
82	0	8/13/93
82	10	10/2/91
82	0	8/13/92
82	20	8/14/92
82	10	8/15/92
82	5	8/17/92
82	0	8/18/92
82	70	8/19/92
82	295	8/20/92
82	5	8/21/92
82	0	8/24/92
82	10	8/25/92
82	20	8/26/92
82	0	8/10/92
82	0	8/14/93
82	0	8/8/92
82	5	8/12/93
82	0	8/11/93
82	0	8/9/93
82	5	8/6/93
82	0	8/5/93
82	5	8/2/93
82	0	7/31/93
82	5	7/29/93
82	170	7/28/93
82	5	7/26/93
82	115	7/25/93
82	30	7/24/93
82	640000	7/23/93
82	5	8/27/92
82	125	8/19/94
82	3	8/6/90
82	0	8/7/90
82	5	8/8/90
82	58	8/9/90
82	40	8/10/90
82	0	8/13/90
82	10	8/14/90
82	0	9/24/91
82	10	9/26/91
82	30	9/27/91
82	80	9/30/91
82	10	10/1/91
82	220	8/12/92
82	35	8/20/94
82	8	8/4/90
82	550	8/18/94
82	25	8/16/94
82	15	8/12/94
82	0	8/11/94
82	83600	8/9/94
82	25	8/6/94
82	10	8/5/94
82	0	8/4/94
82	10	8/3/94
82	0	8/2/94
82	10	8/3/92
82	195	8/4/92
82	0	8/7/92
82	290	10/3/91
